YEAR,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
2015,4,2,MDW,PHX,16.0,1444,51.0
2015,4,2,MHT,BWI,-9.0,377,-52.0
2015,4,2,MIA,DFW,-4.0,1121,2.0
2015,4,3,SEA,DFW,-10.0,1660,-30.0
2015,4,3,DFW,MIA,-4.0,1121,-14.0
2015,4,3,IAH,DFW,-7.0,224,-6.0
2015,4,3,MDW,PHX,-3.0,1444,10.0
2015,4,3,MHT,BWI,-7.0,377,-30.0
2015,4,3,MIA,DFW,-1.0,1121,-3.0
2015,4,4,SEA,DFW,24.0,1660,-8.0
2015,4,4,DFW,MIA,0.0,1121,-6.0
2015,4,4,IAH,DFW,-6.0,224,-21.0
2015,4,4,MIA,DFW,-5.0,1121,-24.0
2015,4,5,SEA,DFW,-5.0,1660,-25.0
2015,4,5,DFW,MIA,-5.0,1121,-20.0
2015,4,5,IAH,DFW,-5.0,224,-10.0
2015,4,5,MHT,BWI,-3.0,377,-28.0
2015,4,5,MIA,DFW,-4.0,1121,
2015,4,6,SEA,DFW,-9.0,1660,-19.0
2015,4,6,DFW,MIA,-5.0,1121,-3.0
2015,4,6,IAH,DFW,-6.0,224,-17.0
2015,4,6,MDW,PHX,0.0,1444,-13.0
2015,4,6,MHT,BWI,-1.0,377,-33.0
2015,4,6,MIA,DFW,-1.0,1121,3.0
2015,4,7,SEA,DFW,-8.0,1660,-11.0
2015,4,7,DFW,MIA,2.0,1121,-2.0
2015,4,7,IAH,DFW,-5.0,224,-20.0
2015,4,7,MDW,PHX,10.0,1444,-3.0
2015,4,7,MIA,DFW,-2.0,1121,-7.0
2015,4,7,MHT,BWI,-4.0,377,-20.0
2015,4,8,SEA,DFW,13.0,1660,4.0
2015,4,8,DFW,MIA,-7.0,1121,-15.0
2015,4,8,IAH,DFW,-11.0,224,-22.0
2015,4,8,MDW,LAX,8.0,1750,14.0
2015,4,8,MHT,BWI,-4.0,377,-22.0
2015,4,8,MIA,DFW,13.0,1121,9.0
2015,4,9,SEA,DFW,30.0,1660,4.0
2015,4,9,DFW,MIA,-8.0,1121,-18.0
2015,4,9,IAH,DFW,-6.0,224,-13.0
2015,4,9,MDW,BWI,-5.0,611,-25.0
2015,4,9,MHT,BWI,-3.0,377,4.0
2015,4,9,MIA,DFW,-6.0,1121,-21.0
2015,4,10,SEA,DFW,-2.0,1660,-10.0
2015,4,10,DFW,MIA,-4.0,1121,-3.0
2015,4,10,IAH,DFW,-5.0,224,-12.0
2015,4,10,MDW,BWI,12.0,611,14.0
2015,4,10,MHT,BWI,-2.0,377,-22.0
2015,4,10,MIA,DFW,5.0,1121,-8.0
2015,4,11,SEA,DFW,-11.0,1660,-36.0
2015,4,11,DFW,MIA,4.0,1121,-6.0
2015,4,11,IAH,DFW,-4.0,224,-11.0
2015,4,11,MHT,BWI,-4.0,377,-10.0
2015,4,11,MIA,DFW,-2.0,1121,-12.0
2015,4,12,SEA,DFW,-10.0,1660,-37.0
2015,4,12,DFW,MIA,-5.0,1121,6.0
2015,4,12,IAH,DFW,-9.0,224,-23.0
2015,4,12,MIA,DFW,51.0,1121,22.0
2015,4,12,MHT,MDW,1.0,838,1.0
2015,4,13,SEA,DFW,1.0,1660,-17.0
2015,4,13,DFW,MIA,-3.0,1121,-2.0
2015,4,13,IAH,DFW,-5.0,224,-2.0
2015,4,13,MDW,BWI,-2.0,611,-19.0
2015,4,13,MHT,BWI,-5.0,377,-5.0
2015,4,13,MIA,DFW,-1.0,1121,-9.0
2015,4,14,SEA,DFW,-1.0,1660,-6.0
2015,4,14,DFW,MIA,-2.0,1121,4.0
2015,4,14,IAH,DFW,25.0,224,12.0
2015,4,14,MDW,BWI,-7.0,611,-20.0
2015,4,14,MHT,BWI,-5.0,377,-20.0
2015,4,14,MIA,DFW,-1.0,1121,-9.0
2015,4,15,SEA,DFW,-7.0,1660,-15.0
2015,4,15,DFW,MIA,-4.0,1121,-1.0
2015,4,15,IAH,DFW,-7.0,224,-27.0
2015,4,15,MDW,BWI,1.0,611,-11.0
2015,4,15,MHT,BWI,-5.0,377,-19.0
2015,4,15,MIA,DFW,-6.0,1121,-7.0
2015,4,16,SEA,DFW,-8.0,1660,-17.0
2015,4,16,PHX,MIA,-5.0,1972,-25.0
2015,4,16,DFW,MIA,7.0,1121,3.0
2015,4,16,IAH,DFW,-6.0,224,-20.0
2015,4,16,MDW,BWI,-1.0,611,-17.0
2015,4,16,MHT,BWI,-4.0,377,-11.0
2015,4,16,MIA,DFW,7.0,1121,-3.0
2015,4,17,SEA,DFW,-8.0,1660,1.0
2015,4,17,PHX,MIA,-8.0,1972,-24.0
2015,4,17,DFW,MIA,-2.0,1121,4.0
2015,4,17,IAH,DFW,-5.0,224,-4.0
2015,4,17,MDW,BWI,5.0,611,-11.0
2015,4,17,MHT,BWI,0.0,377,-20.0
2015,4,17,MIA,DFW,-4.0,1121,13.0
2015,4,18,SEA,DFW,-5.0,1660,-16.0
2015,4,18,PHX,MIA,35.0,1972,51.0
2015,4,18,DFW,MIA,-1.0,1121,1.0
2015,4,18,IAH,DFW,-4.0,224,-5.0
2015,4,18,MHT,BWI,0.0,377,-23.0
2015,4,18,MIA,DFW,-3.0,1121,-12.0
2015,4,19,SEA,DFW,-4.0,1660,-16.0
2015,4,19,PHX,MIA,-8.0,1972,-12.0
2015,4,19,SLC,JFK,-3.0,1990,-14.0
2015,4,19,DFW,MIA,17.0,1121,40.0
2015,4,19,IAH,DFW,-2.0,224,-13.0
2015,4,19,MIA,DFW,-5.0,1121,-13.0
2015,4,19,MHT,MDW,-4.0,838,-11.0
2015,4,20,SEA,DFW,-5.0,1660,-25.0
2015,4,20,PHX,MIA,-1.0,1972,-17.0
2015,4,20,DFW,MIA,11.0,1121,3.0
2015,4,20,IAH,DFW,-7.0,224,-24.0
2015,4,20,MDW,LAX,-2.0,1750,-8.0
2015,4,20,MHT,BWI,-5.0,377,-17.0
2015,4,20,MIA,DFW,0.0,1121,16.0
2015,4,21,SEA,DFW,15.0,1660,-2.0
2015,4,21,PHX,MIA,-6.0,1972,-29.0
2015,4,21,DFW,MIA,-9.0,1121,-23.0
2015,4,21,IAH,DFW,-6.0,224,-17.0
2015,4,21,MDW,BWI,-5.0,611,-16.0
2015,4,21,MHT,BWI,-4.0,377,-19.0
2015,4,21,MIA,DFW,-7.0,1121,-18.0
2015,4,22,SEA,DFW,-9.0,1660,-20.0
2015,4,22,PHX,MIA,-13.0,1972,-41.0
2015,4,22,DFW,MIA,-1.0,1121,-11.0
2015,4,22,IAH,DFW,-10.0,224,-27.0
2015,4,22,MDW,BWI,-6.0,611,-15.0
2015,4,22,MHT,BWI,-4.0,377,-18.0
2015,4,22,MIA,DFW,-6.0,1121,-7.0
2015,4,23,SEA,DFW,-3.0,1660,-22.0
2015,4,23,PHX,MIA,-6.0,1972,-28.0
2015,4,23,DFW,MIA,2.0,1121,-12.0
2015,4,23,IAH,DFW,-6.0,224,-17.0
2015,4,23,MDW,LAX,-1.0,1750,-8.0
2015,4,23,MHT,BWI,-3.0,377,-11.0
2015,4,23,MIA,DFW,-5.0,1121,-8.0
2015,4,24,SEA,DFW,19.0,1660,41.0
2015,4,24,PHX,MIA,-6.0,1972,-24.0
2015,4,24,DFW,MIA,9.0,1121,6.0
2015,4,24,IAH,DFW,-6.0,224,-8.0
2015,4,24,MDW,BWI,-1.0,611,-13.0
2015,4,24,MHT,BWI,-4.0,377,-22.0
2015,4,24,MIA,DFW,5.0,1121,7.0
2015,4,25,SEA,DFW,3.0,1660,-15.0
2015,4,25,PHX,MIA,34.0,1972,22.0
2015,4,25,DFW,MIA,0.0,1121,-2.0
2015,4,25,IAH,DFW,-2.0,224,-21.0
2015,4,25,MHT,BWI,-4.0,377,-13.0
2015,4,25,MIA,DFW,-5.0,1121,-7.0
2015,4,26,SEA,DFW,-5.0,1660,-19.0
2015,4,26,PHX,MIA,-6.0,1972,-18.0
2015,4,26,SLC,JFK,-3.0,1990,12.0
2015,4,26,DFW,MIA,-5.0,1121,-15.0
2015,4,26,IAH,DFW,-3.0,224,-18.0
2015,4,26,MIA,DFW,-2.0,1121,-7.0
2015,4,26,MHT,MDW,-4.0,838,-9.0
2015,4,27,SEA,DFW,0.0,1660,-13.0
2015,4,27,PHX,MIA,-2.0,1972,22.0
2015,4,27,DFW,MIA,-3.0,1121,2.0
2015,4,27,IAH,DFW,,224,
2015,4,27,MDW,BWI,0.0,611,-17.0
2015,4,27,MHT,BWI,-6.0,377,-33.0
2015,4,27,MIA,DFW,-4.0,1121,12.0
2015,4,28,SEA,DFW,-1.0,1660,-21.0
2015,4,28,PHX,MIA,-5.0,1972,-8.0
2015,4,28,DFW,MIA,-5.0,1121,-4.0
2015,4,28,IAH,DFW,-1.0,224,-8.0
2015,4,28,MDW,BWI,-4.0,611,5.0
2015,4,28,MHT,BWI,-6.0,377,-29.0
2015,4,28,MIA,DFW,-4.0,1121,-7.0
2015,4,29,SEA,DFW,-2.0,1660,-15.0
2015,4,29,PHX,MIA,-9.0,1972,-17.0
